"","row.names.topic_doc_probs.","topic_doc_probs...topic.no."
"490","Girl, Woman, Other - Bernardine Evaristo_004.txt",0.134146341463415
"504","Girl, Woman, Other - Bernardine Evaristo_018.txt",0.183453237410072
"516","Girl, Woman, Other - Bernardine Evaristo_030.txt",0.114173228346457
"542","Girl, Woman, Other - Bernardine Evaristo_056.txt",0.135964912280702
"552","Girl, Woman, Other - Bernardine Evaristo_066.txt",0.123134328358209
"562","Girl, Woman, Other - Bernardine Evaristo_076.txt",0.138655462184874
"568","Girl, Woman, Other - Bernardine Evaristo_082.txt",0.116935483870968
"581","Girl, Woman, Other - Bernardine Evaristo_095.txt",0.179389312977099
"585","Girl, Woman, Other - Bernardine Evaristo_099.txt",0.117857142857143
"603","Girl, Woman, Other - Bernardine Evaristo_117.txt",0.116935483870968
"610","Girl, Woman, Other - Bernardine Evaristo_124.txt",0.123015873015873
"612","Girl, Woman, Other - Bernardine Evaristo_126.txt",0.139830508474576
"626","Girl, Woman, Other - Bernardine Evaristo_140.txt",0.146017699115044
"627","Girl, Woman, Other - Bernardine Evaristo_141.txt",0.209219858156028
"662","Girl, Woman, Other - Bernardine Evaristo_176.txt",0.12406015037594
"665","Girl, Woman, Other - Bernardine Evaristo_179.txt",0.150406504065041
"670","Girl, Woman, Other - Bernardine Evaristo_184.txt",0.122377622377622
"671","Girl, Woman, Other - Bernardine Evaristo_185.txt",0.119565217391304
"673","Girl, Woman, Other - Bernardine Evaristo_187.txt",0.127586206896552
"681","Girl, Woman, Other - Bernardine Evaristo_195.txt",0.11328125
"731","Lincoln in the Bardo - George Saunders_018.txt",0.142201834862385
"789","Lincoln in the Bardo - George Saunders_076.txt",0.122881355932203
"804","Lincoln in the Bardo - George Saunders_091.txt",0.138655462184874
"805","Lincoln in the Bardo - George Saunders_092.txt",0.128571428571429
"836","Midnight's Children - Salman Rushdie_002.txt",0.153508771929825
"837","Midnight's Children - Salman Rushdie_003.txt",0.110619469026549
"844","Midnight's Children - Salman Rushdie_010.txt",0.13671875
