"","x"
"Brief History of Seven Killings, A - Marlon James_085.txt",5
"Brief History of Seven Killings, A - Marlon James_089.txt",5
"Brief History of Seven Killings, A - Marlon James_118.txt",5
"Brief History of Seven Killings, A - Marlon James_285.txt",5
"Brief History of Seven Killings, A - Marlon James_352.txt",5
"Brief History of Seven Killings, A - Marlon James_391.txt",5
"Brief History of Seven Killings, A - Marlon James_436.txt",5
"Girl, Woman, Other - Bernardine Evaristo_019.txt",5
"Girl, Woman, Other - Bernardine Evaristo_025.txt",5
"Girl, Woman, Other - Bernardine Evaristo_034.txt",5
"Girl, Woman, Other - Bernardine Evaristo_035.txt",5
"Girl, Woman, Other - Bernardine Evaristo_036.txt",5
"Girl, Woman, Other - Bernardine Evaristo_041.txt",5
"Girl, Woman, Other - Bernardine Evaristo_042.txt",5
"Girl, Woman, Other - Bernardine Evaristo_043.txt",5
"Girl, Woman, Other - Bernardine Evaristo_061.txt",5
"Girl, Woman, Other - Bernardine Evaristo_085.txt",5
"Girl, Woman, Other - Bernardine Evaristo_090.txt",5
"Girl, Woman, Other - Bernardine Evaristo_096.txt",5
"Girl, Woman, Other - Bernardine Evaristo_113.txt",5
"Girl, Woman, Other - Bernardine Evaristo_142.txt",5
"Girl, Woman, Other - Bernardine Evaristo_180.txt",5
"Girl, Woman, Other - Bernardine Evaristo_206.txt",5
"Lincoln in the Bardo - George Saunders_005.txt",5
"Lincoln in the Bardo - George Saunders_026.txt",5
"Lincoln in the Bardo - George Saunders_029.txt",5
"Lincoln in the Bardo - George Saunders_030.txt",5
"Lincoln in the Bardo - George Saunders_043.txt",5
"Midnight's Children - Salman Rushdie_030.txt",5
"Midnight's Children - Salman Rushdie_058.txt",5
"Midnight's Children - Salman Rushdie_066.txt",5
"Midnight's Children - Salman Rushdie_080.txt",5
"Midnight's Children - Salman Rushdie_109.txt",5
"Midnight's Children - Salman Rushdie_138.txt",5
"Midnight's Children - Salman Rushdie_156.txt",5
"Midnight's Children - Salman Rushdie_171.txt",5
"Midnight's Children - Salman Rushdie_196.txt",5
"Midnight's Children - Salman Rushdie_226.txt",5
"Midnight's Children - Salman Rushdie_274.txt",5
"Midnight's Children - Salman Rushdie_348.txt",5
"Midnight's Children - Salman Rushdie_375.txt",5
"Midnight's Children - Salman Rushdie_396.txt",5
"Midnight's Children - Salman Rushdie_426.txt",5
"Narrow Road to the Deep North, The - Flanagan, Richard_051.txt",5
"Narrow Road to the Deep North, The - Flanagan, Richard_181.txt",5
"Narrow Road to the Deep North, The - Flanagan, Richard_193.txt",5
"Sellout, The - Paul Beatty_004.txt",5
"Sellout, The - Paul Beatty_006.txt",5
"Sellout, The - Paul Beatty_007.txt",5
"Sellout, The - Paul Beatty_010.txt",5
"Sellout, The - Paul Beatty_011.txt",5
"Sellout, The - Paul Beatty_013.txt",5
"Sellout, The - Paul Beatty_014.txt",5
"Sellout, The - Paul Beatty_015.txt",5
"Sellout, The - Paul Beatty_017.txt",5
"Sellout, The - Paul Beatty_021.txt",5
"Sellout, The - Paul Beatty_026.txt",5
"Sellout, The - Paul Beatty_033.txt",5
"Sellout, The - Paul Beatty_046.txt",5
"Sellout, The - Paul Beatty_049.txt",5
"Sellout, The - Paul Beatty_052.txt",5
"Sellout, The - Paul Beatty_055.txt",5
"Sellout, The - Paul Beatty_057.txt",5
"Sellout, The - Paul Beatty_059.txt",5
"Sellout, The - Paul Beatty_066.txt",5
"Sellout, The - Paul Beatty_069.txt",5
"Sellout, The - Paul Beatty_071.txt",5
"Sellout, The - Paul Beatty_074.txt",5
"Sellout, The - Paul Beatty_075.txt",5
"Sellout, The - Paul Beatty_077.txt",5
"Sellout, The - Paul Beatty_078.txt",5
"Sellout, The - Paul Beatty_080.txt",5
"Sellout, The - Paul Beatty_081.txt",5
"Sellout, The - Paul Beatty_083.txt",5
"Sellout, The - Paul Beatty_084.txt",5
"Sellout, The - Paul Beatty_085.txt",5
"Sellout, The - Paul Beatty_096.txt",5
"Sellout, The - Paul Beatty_097.txt",5
"Sellout, The - Paul Beatty_100.txt",5
"Sellout, The - Paul Beatty_104.txt",5
"Sellout, The - Paul Beatty_108.txt",5
"Sellout, The - Paul Beatty_110.txt",5
"Sellout, The - Paul Beatty_113.txt",5
"Sellout, The - Paul Beatty_116.txt",5
"Sellout, The - Paul Beatty_119.txt",5
"Sellout, The - Paul Beatty_125.txt",5
"Sellout, The - Paul Beatty_126.txt",5
"Sellout, The - Paul Beatty_128.txt",5
"Sellout, The - Paul Beatty_137.txt",5
"Sellout, The - Paul Beatty_139.txt",5
"Sellout, The - Paul Beatty_140.txt",5
"Sellout, The - Paul Beatty_141.txt",5
"Sellout, The - Paul Beatty_142.txt",5
"Sellout, The - Paul Beatty_144.txt",5
"Sellout, The - Paul Beatty_147.txt",5
"Sellout, The - Paul Beatty_149.txt",5
"Sellout, The - Paul Beatty_157.txt",5
"Sellout, The - Paul Beatty_159.txt",5
"Sellout, The - Paul Beatty_161.txt",5
"Sellout, The - Paul Beatty_162.txt",5
"Sellout, The - Paul Beatty_163.txt",5
"Sellout, The - Paul Beatty_165.txt",5
"Sellout, The - Paul Beatty_167.txt",5
"Sellout, The - Paul Beatty_168.txt",5
"Testaments, The - Margaret Atwood_007.txt",5
"Testaments, The - Margaret Atwood_057.txt",5
"Testaments, The - Margaret Atwood_070.txt",5
"Testaments, The - Margaret Atwood_071.txt",5
"Testaments, The - Margaret Atwood_072.txt",5
"Testaments, The - Margaret Atwood_083.txt",5
"Testaments, The - Margaret Atwood_088.txt",5
"Testaments, The - Margaret Atwood_131.txt",5
